report_no,year,country_iso3,doi,sha256
2004/077,2004,COM,10.5089/9781451809046.002,5e99d30fa4dde56e0f9ddcf7e4eab5264223cec8eec9cf7f3d8e0e785d922bf7
2004/094,2004,NOR,10.5089/9781451829709.002,7dae2d1add618c41faef567121b812941611410c404cea281c423fa7430784a9
2004/105,2004,SGP,10.5089/9781451834888.002,816a60b2356a757c09eb4c5df64eb0f6183cd9477346b9998579ada03ac9da22
2004/111,2004,TCD,10.5089/9781451836431.002,e97e4ddbf3b442de0f8a1668acf06f9ec6b208e9d842be64d48ba2bddc330c5f
2004/143,2004,GMB,10.5089/9781451815443.002,e7f0c3b3e60c8fbd27bf5d3ae1762565b8c4d15259db59c2e3245fd8abf2033a
2004/150,2004,SVN,10.5089/9781451835748.002,92a90bdd31a0d021f6e05bf1f3c5ccf88b1a49adbfa6cda21660b567c00ed7ed
2004/155,2004,PER,10.5089/9781451831023.002,00116748baf7564d124d506814bc6ead69fdb3b912e537ad6f68db7676b038ed
2004/159,2004,CAF,10.5089/9781451806601.002,52c95da0704f5d0aeac69203f4a91791d45e73c6b94636e6902263e338e79138
2004/162,2004,MAR,10.5089/9781451824698.002,27f2c540f5db2e395902e1ac618b7249a883ce87c4cbbd68c8169d38c89cda2f
2004/186,2004,KWT,10.5089/9781451822304.002,87baa1c792dc329e7d050e62863656835f6698c102b6c0a72f7330daf24bd03b
2004/188,2004,IDN,10.5089/9781451818291.002,707f0fdf057c109bb8c091c59cc492d94ce7cb83137933b7b3072180709d5fd1
2004/217,2004,POL,10.5089/9781451831863.002,926aa30a2df5f2f79ca84ad436e89f96fdd11cb69664bd6e6413ffd04564885d
